,precaution,weight
0,consult doctor,15
1,medication,10
2,eat healthy,7
3,follow up,7
4,avoid fatty spicy food,6
5,exercise,6
6,consult nearest hospital,6
7,rest,4
8,salt baths,3
9,drink plenty of water,3
10,massage,3
11,reduce stress,3
12,stop alcohol consumption,2
13,bath twice,2
14,get proper sleep,2
15,meditation,2
16,vaccination,2
17,stop bleeding using pressure,1
18,stop irritation,1
19,stop eating solid food for while,1
20,acetaminophen,1
21,soak affected area in warm water,1
22,seek help,1
23,switch to loose cloothing,1
24,remove scabs with wet compressed cloth,1
25,relax,1
26,maintain healthy weight,1
27,stop taking drug,1
28,take probiotics,1
29,take deep breaths,1
30,use hot and cold therapy,1
31,wash hands with warm soapy water,1
32,wash hands through,1
33,warm bath with epsom salt,1
34,use vein compression,1
35,use poloroid glasses in sun,1
36,use oinments,1
37,use neem in bathing ,1
38,use lemon balm,1
39,use ice to compress itching,1
40,use heating pad or cold pack,1
41,take otc pain reliver,1
42,use detol or neem in bathing water,1
43,use clean cloths,1
44,use antibiotics,1
45,try taking small sips of water,1
46,try acupuncture,1
47,take vapour,1
48,take vaccine,1
49,take radioactive iodine treatment,1
50,lie down on side,1
51,limit alcohol,1
52,keep infected area dry,1
53,lie down flat and raise the leg high,1
54,avoid sudden change in body,1
55,consume neem leaves,1
56,consume milk thistle,1
57,consume alovera juice,1
58,cold baths,1
59,chew or swallow asprin,1
60,check in pulse,1
61,call ambulance,1
62,avoid too many products,1
63,avoid public places,1
64,consume witch hazel,1
65,avoid open cuts,1
66,avoid oily food,1
67,avoid non veg food,1
68,avoid lying down after eating,1
69,avoid cold food,1
70,avoid abrupt head movment,1
71,apply calamine,1
72,antiboitic therapy,1
73,consume probiotic food,1
74,cover area with bandage,1
75,lie down,1
76,get away from trigger,1
77,keep mosquitos out,1
78,keep mosquitos away,1
79,anti itch medicine,1
80,keep hydrated,1
81,keep fever in check,1
82,keep calm,1
83,increase vitamin c intake,1
84,have balanced diet,1
85,eliminate milk,1
86,cover mouth,1
87,eat high calorie vegitables,1
88,eat fruits and high fiberous food,1
89,ease back into eating,1
90,drink vitamin c rich drinks,1
91,drink sugary drinks,1
92,drink papaya leaf juice,1
93,drink cranberry juice,1
94,dont stand still for long,1
95,wear ppe if possible,1
